"","Yr","Player","allstar"
"1138",1998,"Eddie Jones",1
"1139",1998,"Jason Kidd",1
"1140",1998,"Karl Malone",1
"1141",1998,"Shaquille O'Neal",1
"1142",1998,"Gary Payton",1
"1143",1998,"Mitch Richmond",1
"1144",1998,"David Robinson",1
"1145",1998,"Nick Van Exel",1
"1146",2000,"Ray Allen",1
"1147",2000,"Vince Carter",1
"1148",2000,"Dale Davis",1
"1149",2000,"Grant Hill",1
"1150",2000,"Allan Houston",1
"1151",2000,"Allen Iverson",1
"1152",2000,"Eddie Jones",1
"1153",2000,"Reggie Miller",1
"1154",2000,"Alonzo Mourning",1
"1155",2000,"Dikembe Mutombo",1
"1156",2000,"Glenn Robinson",1
"1157",2000,"Jerry Stackhouse",1
"1158",2000,"Kobe Bryant",1
"1159",2000,"Tim Duncan",1
"1160",2000,"Michael Finley",1
"1161",2000,"Kevin Garnett",1
"1162",2000,"Jason Kidd",1
"1163",2000,"Karl Malone",1
"1164",2000,"Shaquille O'Neal",1
"1165",2000,"Gary Payton",1
"1166",2000,"David Robinson",1
"1167",2000,"John Stockton",1
"1168",2000,"Rasheed Wallace",1
"1169",2000,"Chris Webber",1
"1170",2001,"Ray Allen",1
"1171",2001,"Vince Carter",1
"1172",2001,"Antonio Davis",1
"1173",2001,"Grant Hill",1
"1174",2001,"Allan Houston",1
"1175",2001,"Allen Iverson",1
"1176",2001,"Stephon Marbury",1
"1177",2001,"Anthony Mason",1
"1178",2001,"Tracy McGrady",1
"1179",2001,"Alonzo Mourning",1
"1180",2001,"Dikembe Mutombo",1
"1181",2001,"Theo Ratliff",1
"1182",2001,"Glenn Robinson",1
"1183",2001,"Latrell Sprewell",1
"1184",2001,"Jerry Stackhouse",1
"1185",2001,"Kobe Bryant",1
"1186",2001,"Vlade Divac",1
"1187",2001,"Tim Duncan",1
"1188",2001,"Michael Finley",1
"1189",2001,"Kevin Garnett",1
"1190",2001,"Jason Kidd",1
"1191",2001,"Karl Malone",1
"1192",2001,"Antonio McDyess",1
"1193",2001,"Shaquille O'Neal",1
"1194",2001,"Gary Payton",1
"1195",2001,"David Robinson",1
"1196",2001,"Rasheed Wallace",1
"1197",2001,"Chris Webber",1
"1198",2002,"Shareef Abdur-Rahim",1
"1199",2002,"Ray Allen",1
"1200",2002,"Vince Carter",1
"1201",2002,"Baron Davis",1
"1202",2002,"Allen Iverson",1
"1203",2002,"Michael Jordan",1
"1204",2002,"Jason Kidd",1
"1205",2002,"Tracy McGrady",1
"1206",2002,"Alonzo Mourning",1
"1207",2002,"Dikembe Mutombo",1
"1208",2002,"Jermaine O'Neal",1
"1209",2002,"Paul Pierce",1
"1210",2002,"Antoine Walker",1
"1211",2002,"Elton Brand",1
"1212",2002,"Kobe Bryant",1
"1213",2002,"Tim Duncan",1
"1214",2002,"Steve Francis",1
"1215",2002,"Kevin Garnett",1
"1216",2002,"Karl Malone",1
"1217",2002,"Steve Nash",1
"1218",2002,"Dirk Nowitzki",1
"1219",2002,"Shaquille O'Neal",1
"1220",2002,"Gary Payton",1
"1221",2002,"Peja Stojakovic",1
"1222",2002,"Wally Szczerbiak",1
"1223",2002,"Chris Webber",1
"1224",2003,"Vince Carter",1
"1225",2003,"Zydrunas Ilgauskas",1
"1226",2003,"Allen Iverson",1
"1227",2003,"Michael Jordan",1
"1228",2003,"Jason Kidd",1
"1229",2003,"Jamal Mashburn",1
"1230",2003,"Tracy McGrady",1
"1231",2003,"Brad Miller",1
"1232",2003,"Jermaine O'Neal",1
"1233",2003,"Paul Pierce",1
"1234",2003,"Antoine Walker",1
"1235",2003,"Ben Wallace",1
"1236",2003,"Kobe Bryant",1
"1237",2003,"Tim Duncan",1
"1238",2003,"Steve Francis",1
"1239",2003,"Kevin Garnett",1
"1240",2003,"Stephon Marbury",1
"1241",2003,"Shawn Marion",1
"1242",2003,"Yao Ming",1
"1243",2003,"Steve Nash",1
"1244",2003,"Dirk Nowitzki",1
"1245",2003,"Shaquille O'Neal",1
"1246",2003,"Gary Payton",1
"1247",2003,"Peja Stojakovic",1
"1248",2003,"Chris Webber",1
"1249",2004,"Metta World Peace",1
"1250",2004,"Vince Carter",1
"1251",2004,"Baron Davis",1
"1252",2004,"Allen Iverson",1
"1253",2004,"Jason Kidd",1
"1254",2004,"Jamaal Magloire",1
"1255",2004,"Kenyon Martin",1
"1256",2004,"Tracy McGrady",1
"1257",2004,"Jermaine O'Neal",1
"1258",2004,"Paul Pierce",1
"1259",2004,"Michael Redd",1
"1260",2004,"Ben Wallace",1
"1261",2004,"Ray Allen",1
"1262",2004,"Kobe Bryant",1
"1263",2004,"Sam Cassell",1
"1264",2004,"Tim Duncan",1
"1265",2004,"Steve Francis",1
"1266",2004,"Kevin Garnett",1
"1267",2004,"Andrei Kirilenko",1
"1268",2004,"Brad Miller",1
"1269",2004,"Yao Ming",1
"1270",2004,"Dirk Nowitzki",1
"1271",2004,"Shaquille O'Neal",1
"1272",2004,"Peja Stojakovic",1
"1273",2005,"Gilbert Arenas",1
"1274",2005,"Vince Carter",1
"1275",2005,"Grant Hill",1
"1276",2005,"Zydrunas Ilgauskas",1
"1277",2005,"Allen Iverson",1
"1278",2005,"LeBron James",1
"1279",2005,"Antawn Jamison",1
"1280",2005,"Jermaine O'Neal",1
"1281",2005,"Shaquille O'Neal",1
"1282",2005,"Paul Pierce",1
"1283",2005,"Dwyane Wade",1
"1284",2005,"Ben Wallace",1
"1285",2005,"Ray Allen",1
"1286",2005,"Kobe Bryant",1
"1287",2005,"Tim Duncan",1
"1288",2005,"Kevin Garnett",1
"1289",2005,"Manu Ginobili",1
"1290",2005,"Rashard Lewis",1
"1291",2005,"Shawn Marion",1
"1292",2005,"Tracy McGrady",1
"1293",2005,"Yao Ming",1
"1294",2005,"Steve Nash",1
"1295",2005,"Dirk Nowitzki",1
"1296",2005,"Amar'e Stoudemire",1
"1297",2006,"Gilbert Arenas",1
"1298",2006,"Chauncey Billups",1
"1299",2006,"Chris Bosh",1
"1300",2006,"Vince Carter",1
"1301",2006,"Richard Hamilton",1
"1302",2006,"Allen Iverson",1
"1303",2006,"LeBron James",1
"1304",2006,"Jermaine O'Neal",1
"1305",2006,"Shaquille O'Neal",1
"1306",2006,"Paul Pierce",1
"1307",2006,"Dwyane Wade",1
"1308",2006,"Ben Wallace",1
"1309",2006,"Rasheed Wallace",1
"1310",2006,"Ray Allen",1
"1311",2006,"Elton Brand",1
"1312",2006,"Kobe Bryant",1
"1313",2006,"Tim Duncan",1
"1314",2006,"Kevin Garnett",1
"1315",2006,"Pau Gasol",1
"1316",2006,"Shawn Marion",1
"1317",2006,"Tracy McGrady",1
"1318",2006,"Yao Ming",1
"1319",2006,"Steve Nash",1
"1320",2006,"Dirk Nowitzki",1
"1321",2006,"Tony Parker",1
"1322",2007,"Gilbert Arenas",1
"1323",2007,"Chauncey Billups",1
"1324",2007,"Chris Bosh",1
"1325",2007,"Caron Butler",1
"1326",2007,"Vince Carter",1
"1327",2007,"Richard Hamilton",1
"1328",2007,"Dwight Howard",1
"1329",2007,"LeBron James",1
"1330",2007,"Joe Johnson",1
"1331",2007,"Jason Kidd",1
"1332",2007,"Jermaine O'Neal",1
"1333",2007,"Shaquille O'Neal",1
"1334",2007,"Dwyane Wade",1
"1335",2007,"Ray Allen",1
"1336",2007,"Carmelo Anthony",1
"1337",2007,"Carlos Boozer",1
"1338",2007,"Kobe Bryant",1
"1339",2007,"Tim Duncan",1
"1340",2007,"Kevin Garnett",1
"1341",2007,"Josh Howard",1
"1342",2007,"Allen Iverson",1
"1343",2007,"Shawn Marion",1
"1344",2007,"Tracy McGrady",1
"1345",2007,"Yao Ming",1
"1346",2007,"Steve Nash",1
"1347",2007,"Dirk Nowitzki",1
"1348",2007,"Mehmet Okur",1
"1349",2007,"Tony Parker",1
"1350",2007,"Amar'e Stoudemire",1
"1351",2008,"Ray Allen",1
"1352",2008,"Chauncey Billups",1
"1353",2008,"Chris Bosh",1
"1354",2008,"Caron Butler",1
"1355",2008,"Kevin Garnett",1
"1356",2008,"Richard Hamilton",1
"1357",2008,"Dwight Howard",1
"1358",2008,"LeBron James",1
"1359",2008,"Antawn Jamison",1
"1360",2008,"Joe Johnson",1
"1361",2008,"Jason Kidd",1
"1362",2008,"Paul Pierce",1
"1363",2008,"Dwyane Wade",1
"1364",2008,"Rasheed Wallace",1
"1365",2008,"Carmelo Anthony",1
"1366",2008,"Carlos Boozer",1
"1367",2008,"Kobe Bryant",1
"1368",2008,"Tim Duncan",1
"1369",2008,"Allen Iverson",1
"1370",2008,"Yao Ming",1
"1371",2008,"Steve Nash",1
"1372",2008,"Dirk Nowitzki",1
"1373",2008,"Chris Paul",1
"1374",2008,"Brandon Roy",1
"1375",2008,"Amar'e Stoudemire",1
"1376",2008,"David West",1
"1377",2009,"Ray Allen",1
"1378",2009,"Chris Bosh",1
"1379",2009,"Kevin Garnett",1
"1380",2009,"Danny Granger",1
"1381",2009,"Devin Harris",1
"1382",2009,"Dwight Howard",1
"1383",2009,"Allen Iverson",1
"1384",2009,"LeBron James",1
"1385",2009,"Joe Johnson",1
"1386",2009,"Rashard Lewis",1
"1387",2009,"Jameer Nelson",1
"1388",2009,"Paul Pierce",1
"1389",2009,"Dwyane Wade",1
"1390",2009,"Mo Williams",1
"1391",2009,"Chauncey Billups",1
"1392",2009,"Kobe Bryant",1
"1393",2009,"Tim Duncan",1
"1394",2009,"Pau Gasol",1
"1395",2009,"Yao Ming",1
"1396",2009,"Dirk Nowitzki",1
"1397",2009,"Shaquille O'Neal",1
"1398",2009,"Tony Parker",1
"1399",2009,"Chris Paul",1
"1400",2009,"Brandon Roy",1
"1401",2009,"Amar'e Stoudemire",1
"1402",2009,"David West",1
"1403",2010,"Chris Bosh",1
"1404",2010,"Kevin Garnett",1
"1405",2010,"Al Horford",1
"1406",2010,"Dwight Howard",1
"1407",2010,"Allen Iverson",1
"1408",2010,"LeBron James",1
"1409",2010,"Joe Johnson",1
"1410",2010,"David Lee",1
"1411",2010,"Paul Pierce",1
"1412",2010,"Rajon Rondo",1
"1413",2010,"Derrick Rose",1
"1414",2010,"Dwyane Wade",1
"1415",2010,"Gerald Wallace",1
"1416",2010,"Carmelo Anthony",1
"1417",2010,"Chauncey Billups",1
"1418",2010,"Kobe Bryant",1
"1419",2010,"Tim Duncan",1
"1420",2010,"Kevin Durant",1
"1421",2010,"Pau Gasol",1
"1422",2010,"Chris Kaman",1
"1423",2010,"Jason Kidd",1
"1424",2010,"Steve Nash",1
"1425",2010,"Dirk Nowitzki",1
"1426",2010,"Chris Paul",1
"1427",2010,"Zach Randolph",1
"1428",2010,"Brandon Roy",1
"1429",2010,"Amar'e Stoudemire",1
"1430",2010,"Deron Williams",1
"1431",2011,"Ray Allen",1
"1432",2011,"Chris Bosh",1
"1433",2011,"Kevin Garnett",1
"1434",2011,"Al Horford",1
"1435",2011,"Dwight Howard",1
"1436",2011,"LeBron James",1
"1437",2011,"Joe Johnson",1
"1438",2011,"Paul Pierce",1
"1439",2011,"Rajon Rondo",1
"1440",2011,"Derrick Rose",1
"1441",2011,"Amar'e Stoudemire",1
"1442",2011,"Dwyane Wade",1
"1443",2011,"Carmelo Anthony",1
"1444",2011,"Kobe Bryant",1
"1445",2011,"Tim Duncan",1
"1446",2011,"Kevin Durant",1
"1447",2011,"Pau Gasol",1
"1448",2011,"Manu Ginobili",1
"1449",2011,"Blake Griffin",1
"1450",2011,"Kevin Love",1
"1451",2011,"Yao Ming",1
"1452",2011,"Dirk Nowitzki",1
"1453",2011,"Chris Paul",1
"1454",2011,"Russell Westbrook",1
"1455",2011,"Deron Williams",1
"1456",2012,"Carmelo Anthony",1
"1457",2012,"Chris Bosh",1
"1458",2012,"Luol Deng",1
"1459",2012,"Roy Hibbert",1
"1460",2012,"Dwight Howard",1
"1461",2012,"Andre Iguodala",1
"1462",2012,"LeBron James",1
"1463",2012,"Joe Johnson",1
"1464",2012,"Paul Pierce",1
"1465",2012,"Rajon Rondo",1
"1466",2012,"Derrick Rose",1
"1467",2012,"Dwyane Wade",1
"1468",2012,"Deron Williams",1
"1469",2012,"LaMarcus Aldridge",1
"1470",2012,"Kobe Bryant",1
"1471",2012,"Andrew Bynum",1
"1472",2012,"Kevin Durant",1
"1473",2012,"Marc Gasol",1
"1474",2012,"Blake Griffin",1
"1475",2012,"Kevin Love",1
"1476",2012,"Steve Nash",1
"1477",2012,"Dirk Nowitzki",1
"1478",2012,"Tony Parker",1
"1479",2012,"Chris Paul",1
"1480",2012,"Russell Westbrook",1
"1481",2013,"Carmelo Anthony",1
"1482",2013,"Chris Bosh",1
"1483",2013,"Tyson Chandler",1
"1484",2013,"Luol Deng",1
"1485",2013,"Kevin Garnett",1
"1486",2013,"Paul George",1
"1487",2013,"Jrue Holiday",1
"1488",2013,"Kyrie Irving",1
"1489",2013,"LeBron James",1
"1490",2013,"Brook Lopez",1
"1491",2013,"Joakim Noah",1
"1492",2013,"Rajon Rondo",1
"1493",2013,"Dwyane Wade",1
"1494",2013,"LaMarcus Aldridge",1
"1495",2013,"Kobe Bryant",1
"1496",2013,"Tim Duncan",1
"1497",2013,"Kevin Durant",1
"1498",2013,"Blake Griffin",1
"1499",2013,"James Harden",1
"1500",2013,"Dwight Howard",1
"1501",2013,"David Lee",1
"1502",2013,"Tony Parker",1
"1503",2013,"Chris Paul",1
"1504",2013,"Zach Randolph",1
"1505",2013,"Russell Westbrook",1
"1506",2014,"Carmelo Anthony",1
"1507",2014,"Chris Bosh",1
"1508",2014,"DeMar DeRozan",1
"1509",2014,"Paul George",1
"1510",2014,"Roy Hibbert",1
"1511",2014,"Kyrie Irving",1
"1512",2014,"LeBron James",1
"1513",2014,"Joe Johnson",1
"1514",2014,"Paul Millsap",1
"1515",2014,"Joakim Noah",1
"1516",2014,"Dwyane Wade",1
"1517",2014,"John Wall",1
"1518",2014,"LaMarcus Aldridge",1
"1519",2014,"Kobe Bryant",1
"1520",2014,"Stephen Curry",1
"1521",2014,"Anthony Davis",1
"1522",2014,"Kevin Durant",1
"1523",2014,"Blake Griffin",1
"1524",2014,"James Harden",1
"1525",2014,"Dwight Howard",1
"1526",2014,"Damian Lillard",1
"1527",2014,"Kevin Love",1
"1528",2014,"Dirk Nowitzki",1
"1529",2014,"Tony Parker",1
"1530",2014,"Chris Paul",1
"1531",2015,"Carmelo Anthony",1
"1532",2015,"Chris Bosh",1
"1533",2015,"Jimmy Butler",1
"1534",2015,"Pau Gasol",1
"1535",2015,"Al Horford",1
"1536",2015,"Kyrie Irving",1
"1537",2015,"LeBron James",1
"1538",2015,"Kyle Korver",1
"1539",2015,"Kyle Lowry",1
"1540",2015,"Paul Millsap",1
"1541",2015,"Jeff Teague",1
"1542",2015,"Dwyane Wade",1
"1543",2015,"John Wall",1
"1544",2015,"LaMarcus Aldridge",1
"1545",2015,"Kobe Bryant",1
"1546",2015,"DeMarcus Cousins",1
"1547",2015,"Stephen Curry",1
"1548",2015,"Anthony Davis",1
"1549",2015,"Tim Duncan",1
"1550",2015,"Kevin Durant",1
"1551",2015,"Marc Gasol",1
"1552",2015,"Blake Griffin",1
"1553",2015,"James Harden",1
"1554",2015,"Damian Lillard",1
"1555",2015,"Dirk Nowitzki",1
"1556",2015,"Chris Paul",1
"1557",2015,"Klay Thompson",1
"1558",2015,"Russell Westbrook",1
"1559",2016,"Carmelo Anthony",1
"1560",2016,"Chris Bosh",1
"1561",2016,"Jimmy Butler",1
"1562",2016,"DeMar DeRozan",1
"1563",2016,"Andre Drummond",1
"1564",2016,"Pau Gasol",1
"1565",2016,"Paul George",1
"1566",2016,"Al Horford",1
"1567",2016,"LeBron James",1
"1568",2016,"Kyle Lowry",1
"1569",2016,"Paul Millsap",1
"1570",2016,"Isaiah Thomas",1
"1571",2016,"Dwyane Wade",1
"1572",2016,"John Wall",1
"1573",2016,"LaMarcus Aldridge",1
"1574",2016,"Kobe Bryant",1
"1575",2016,"DeMarcus Cousins",1
"1576",2016,"Stephen Curry",1
"1577",2016,"Anthony Davis",1
"1578",2016,"Kevin Durant",1
"1579",2016,"Draymond Green",1
"1580",2016,"James Harden",1
"1581",2016,"Kawhi Leonard",1
"1582",2016,"Chris Paul",1
"1583",2016,"Klay Thompson",1
"1584",2016,"Russell Westbrook",1
"1585",2017,"Giannis Antetokounmpo",1
"1586",2017,"Carmelo Anthony",1
"1587",2017,"Jimmy Butler",1
"1588",2017,"DeMar DeRozan",1
"1589",2017,"Paul George",1
"1590",2017,"Kyrie Irving",1
"1591",2017,"LeBron James",1
"1592",2017,"Kevin Love",1
"1593",2017,"Kyle Lowry",1
"1594",2017,"Paul Millsap",1
"1595",2017,"Isaiah Thomas",1
"1596",2017,"Kemba Walker",1
"1597",2017,"John Wall",1
"1598",2017,"DeMarcus Cousins",1
"1599",2017,"Stephen Curry",1
"1600",2017,"Anthony Davis",1
"1601",2017,"Kevin Durant",1
"1602",2017,"Marc Gasol",1
"1603",2017,"Draymond Green",1
"1604",2017,"James Harden",1
"1605",2017,"Gordon Hayward",1
"1606",2017,"DeAndre Jordan",1
"1607",2017,"Kawhi Leonard",1
"1608",2017,"Klay Thompson",1
"1609",2017,"Russell Westbrook",1
"1610",2018,"LaMarcus Aldridge",1
"1611",2018,"Bradley Beal",1
"1612",2018,"DeMarcus Cousins",1
"1613",2018,"Anthony Davis",1
"1614",2018,"Goran Dragic",1
"1615",2018,"Andre Drummond",1
"1616",2018,"Kevin Durant",1
"1617",2018,"Paul George",1
"1618",2018,"Kyrie Irving",1
"1619",2018,"LeBron James",1
"1620",2018,"Kevin Love",1
"1621",2018,"Victor Oladipo",1
"1622",2018,"Kristaps Porzingis",1
"1623",2018,"Kemba Walker",1
"1624",2018,"John Wall",1
"1625",2018,"Russell Westbrook",1
"1626",2018,"Giannis Antetokounmpo",1
"1627",2018,"Jimmy Butler",1
"1628",2018,"Stephen Curry",1
"1629",2018,"DeMar DeRozan",1
"1630",2018,"Joel Embiid",1
"1631",2018,"Draymond Green",1
"1632",2018,"James Harden",1
"1633",2018,"Al Horford",1
"1634",2018,"Damian Lillard",1
"1635",2018,"Kyle Lowry",1
"1636",2018,"Klay Thompson",1
"1637",2018,"Karl-Anthony Towns",1
"1638",2019,"Giannis Antetokounmpo",1
"1639",2019,"Stephen Curry",1
"1640",2019,"Joel Embiid",1
"1641",2019,"Paul George",1
"1642",2019,"Blake Griffin",1
"1643",2019,"Nikola Jokic",1
"1644",2019,"Kyle Lowry",1
"1645",2019,"Khris Middleton",1
"1646",2019,"Dirk Nowitzki",1
"1647",2019,"Victor Oladipo",1
"1648",2019,"D'Angelo Russell",1
"1649",2019,"Nikola Vucevic",1
"1650",2019,"Kemba Walker",1
"1651",2019,"Russell Westbrook",1
"1652",2019,"LaMarcus Aldridge",1
"1653",2019,"Bradley Beal",1
"1654",2019,"Anthony Davis",1
"1655",2019,"Kevin Durant",1
"1656",2019,"James Harden",1
"1657",2019,"Kyrie Irving",1
"1658",2019,"LeBron James",1
"1659",2019,"Kawhi Leonard",1
"1660",2019,"Damian Lillard",1
"1661",2019,"Ben Simmons",1
"1662",2019,"Klay Thompson",1
"1663",2019,"Karl-Anthony Towns",1
"1664",2019,"Dwyane Wade",1
"1665",2020,"Bam Adebayo",1
"1666",2020,"Giannis Antetokounmpo",1
"1667",2020,"Jimmy Butler",1
"1668",2020,"Joel Embiid",1
"1669",2020,"Rudy Gobert",1
"1670",2020,"Brandon Ingram",1
"1671",2020,"Kyle Lowry",1
"1672",2020,"Khris Middleton",1
"1673",2020,"Donovan Mitchell",1
"1674",2020,"Pascal Siakam",1
"1675",2020,"Kemba Walker",1
"1676",2020,"Trae Young",1
"1677",2020,"Devin Booker",1
"1678",2020,"Anthony Davis",1
"1679",2020,"Luka Doncic",1
"1680",2020,"James Harden",1
"1681",2020,"LeBron James",1
"1682",2020,"Nikola Jokic",1
"1683",2020,"Kawhi Leonard",1
"1684",2020,"Damian Lillard",1
"1685",2020,"Chris Paul",1
"1686",2020,"Domantas Sabonis",1
"1687",2020,"Ben Simmons",1
"1688",2020,"Jayson Tatum",1
"1689",2020,"Russell Westbrook",1
